Round,Accuracy (%),nt
29,0.3639705882352941,18
29,0,19
29,0,20
29,0,21
29,0,22
29,0,23
29,0,24
29,0,25
29,0,26
29,0,27
29,0,28
29,0,29
29,0,30
30,0.5566616440606037,0
30,0.1732849481454392,1
30,0.38125,2
30,0.2779882154882155,3
30,0.46510416666666665,4
30,0,5
30,0,6
30,0,7
30,0,8
30,0,9
30,0,10
30,0,11
30,0.33303571428571427,12
30,0,13
30,0,14
30,0,15
30,0,16
30,0,17
30,0,18
30,0.3805147058823529,19
30,0,20
30,0,21
30,0,22
30,0,23
30,0,24
30,0,25
30,0,26
30,0,27
30,0,28
30,0,29
30,0,30
